"filename", "language", "JSON", "Log", "ShaderLab", "HLSL", "C#", "XML", "comment", "blank", "total"
"g:\GitHub\LostAlien\My project\Assembly-CSharp-Editor.csproj", "XML", 0, 0, 0, 0, 0, 834, 7, 1, 842
"g:\GitHub\LostAlien\My project\Assembly-CSharp.csproj", "XML", 0, 0, 0, 0, 0, 838, 7, 1, 846
"g:\GitHub\LostAlien\My project\Assets\HomingMissile.cs", "C#", 0, 0, 0, 0, 66, 0, 0, 20, 86
"g:\GitHub\LostAlien\My project\Assets\Intractable.cs", "C#", 0, 0, 0, 0, 13, 0, 0, 6, 19
"g:\GitHub\LostAlien\My project\Assets\Scripts\Bullet scripts\Bullet.cs", "C#", 0, 0, 0, 0, 104, 0, 8, 20, 132
"g:\GitHub\LostAlien\My project\Assets\Scripts\Bullet scripts\BulletPool.cs", "C#", 0, 0, 0, 0, 126, 0, 0, 21, 147
"g:\GitHub\LostAlien\My project\Assets\Scripts\Bullet scripts\EnemyBullet.cs", "C#", 0, 0, 0, 0, 78, 0, 0, 20, 98
"g:\GitHub\LostAlien\My project\Assets\Scripts\CameraScripts\CameraFadeOutScript.cs", "C#", 0, 0, 0, 0, 67, 0, 0, 12, 79
"g:\GitHub\LostAlien\My project\Assets\Scripts\CameraScripts\CameraFollow.cs", "C#", 0, 0, 0, 0, 48, 0, 0, 6, 54
"g:\GitHub\LostAlien\My project\Assets\Scripts\CameraScripts\CameraShake.cs", "C#", 0, 0, 0, 0, 35, 0, 31, 39, 105
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Boss Man\BossMovement.cs", "C#", 0, 0, 0, 0, 148, 0, 0, 36, 184
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\DetectionZone.cs", "C#", 0, 0, 0, 0, 25, 0, 0, 7, 32
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\Enemy.cs", "C#", 0, 0, 0, 0, 160, 0, 1, 32, 193
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyAnimation.cs", "C#", 0, 0, 0, 0, 35, 0, 0, 8, 43
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyBatchHandler.cs", "C#", 0, 0, 0, 0, 82, 0, 0, 15, 97
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyShooter.cs", "C#", 0, 0, 0, 0, 144, 0, 0, 38, 182
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyShooter\EnemyShooterController.cs", "C#", 0, 0, 0, 0, 123, 0, 1, 30, 154
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyTargetController.cs", "C#", 0, 0, 0, 0, 45, 0, 0, 9, 54
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\CharacterHealth.cs", "C#", 0, 0, 0, 0, 61, 0, 0, 11, 72
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\CharacterMovement.cs", "C#", 0, 0, 0, 0, 42, 0, 0, 4, 46
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\PlayerShootingManager.cs", "C#", 0, 0, 0, 0, 45, 0, 0, 10, 55
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\PlayerWeaponManager.cs", "C#", 0, 0, 0, 0, 114, 0, 2, 18, 134
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\Weapon Scripts\PlayerWeaponDurabilityManager.cs", "C#", 0, 0, 0, 0, 31, 0, 0, 4, 35
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\Weapon Scripts\WeaponManager.cs", "C#", 0, 0, 0, 0, 25, 0, 0, 3, 28
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\playerMovement.cs", "C#", 0, 0, 0, 0, 110, 0, 1, 15, 126
"g:\GitHub\LostAlien\My project\Assets\Scripts\Editor\WeaponIntractSOCustomEditor.cs", "C#", 0, 0, 0, 0, 41, 0, 18, 13, 72
"g:\GitHub\LostAlien\My project\Assets\Scripts\Helper Scripts\TagManager.cs", "C#", 0, 0, 0, 0, 29, 0, 0, 15, 44
"g:\GitHub\LostAlien\My project\Assets\Scripts\UI\PlayerWeaponUI.cs", "C#", 0, 0, 0, 0, 62, 0, 1, 14, 77
"g:\GitHub\LostAlien\My project\Assets\Scripts\UI\ScriptableObjectScripts\PlayerWeaponSO.cs", "C#", 0, 0, 0, 0, 21, 0, 0, 4, 25
"g:\GitHub\LostAlien\My project\Assets\Scripts\UI\ScriptableObjectScripts\WeaponIntractSO.cs", "C#", 0, 0, 0, 0, 12, 0, 0, 9, 21
