"filename", "language", "Log", "C#", "XML", "comment", "blank", "total"
"g:\GitHub\LostAlien\My project\Assembly-CSharp.csproj", "XML", 0, 0, 2, 0, 0, 2
"g:\GitHub\LostAlien\My project\Assets\HomingMissile.cs", "C#", 0, -66, 0, 0, -20, -86
"g:\GitHub\LostAlien\My project\Assets\Intractable.cs", "C#", 0, -13, 0, 0, -6, -19
"g:\GitHub\LostAlien\My project\Assets\Scripts\Audio\AudioManager.cs", "C#", 0, 82, 0, 0, 25, 107
"g:\GitHub\LostAlien\My project\Assets\Scripts\Bullet scripts\Bullet.cs", "C#", 0, -22, 0, 0, -4, -26
"g:\GitHub\LostAlien\My project\Assets\Scripts\Bullet scripts\HomingMissile.cs", "C#", 0, 85, 0, 0, 28, 113
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Boss Man\BossMovement.cs", "C#", 0, 6, 0, 0, 2, 8
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\Enemy.cs", "C#", 0, 2, 0, 0, 0, 2
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyBatchHandler.cs", "C#", 0, 8, 0, 0, 2, 10
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyShooter.cs", "C#", 0, 10, 0, 0, 1, 11
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyShooter\EnemyShooterController.cs", "C#", 0, 53, 0, 0, 21, 74
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyTargetController.cs", "C#", 0, 18, 0, 0, 5, 23
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\CharacterHealth.cs", "C#", 0, 29, 0, 7, 7, 43
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\PlayerShootingManager.cs", "C#", 0, 0, 0, 0, 2, 2
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\PlayerWeaponManager.cs", "C#", 0, 13, 0, -2, 5, 16
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\playerMovement.cs", "C#", 0, 5, 0, 0, 6, 11
"g:\GitHub\LostAlien\My project\Assets\Scripts\Editor\WeaponIntractSOCustomEditor.cs", "C#", 0, -41, 0, -18, -13, -72
"g:\GitHub\LostAlien\My project\Assets\Scripts\Helper Scripts\TagManager.cs", "C#", 0, 3, 0, 0, 0, 3
"g:\GitHub\LostAlien\My project\Assets\Scripts\Intractables\Chest\ChestScript.cs", "C#", 0, 53, 0, 0, 14, 67
"g:\GitHub\LostAlien\My project\Assets\Scripts\Intractables\Intractable.cs", "C#", 0, 13, 0, 0, 6, 19
"g:\GitHub\LostAlien\My project\Assets\Scripts\UI\ScriptableObjectScripts\WeaponIntractSO.cs", "C#", 0, 5, 0, 0, 2, 7
"g:\GitHub\LostAlien\My project\Logs\AssetImportWorker0-prev.log", "Log", -171, 0, 0, 0, -6, -177
"g:\GitHub\LostAlien\My project\Logs\AssetImportWorker0.log", "Log", -510, 0, 0, 0, -20, -530
"g:\GitHub\LostAlien\My project\Logs\shadercompiler-UnityShaderCompiler.exe1.log", "Log", 2, 0, 0, 0, 2, 4
"g:\GitHub\LostAlien\My project\Logs\shadercompiler-UnityShaderCompiler.exe2.log", "Log", 2, 0, 0, 0, 2, 4
"Total", "-", -677, 243, 2, -13, 61, -384
