"filename", "language", "JSON", "Log", "ShaderLab", "C#", "HLSL", "XML", "comment", "blank", "total"
"g:\GitHub\LostAlien\My project\Assembly-CSharp-Editor.csproj", "XML", 0, 0, 0, 0, 0, 834, 7, 1, 842
"g:\GitHub\LostAlien\My project\Assembly-CSharp.csproj", "XML", 0, 0, 0, 0, 0, 840, 7, 1, 848
"g:\GitHub\LostAlien\My project\Assets\Scripts\Audio\AudioManager.cs", "C#", 0, 0, 0, 82, 0, 0, 0, 25, 107
"g:\GitHub\LostAlien\My project\Assets\Scripts\Bullet scripts\Bullet.cs", "C#", 0, 0, 0, 82, 0, 0, 8, 16, 106
"g:\GitHub\LostAlien\My project\Assets\Scripts\Bullet scripts\BulletPool.cs", "C#", 0, 0, 0, 126, 0, 0, 0, 21, 147
"g:\GitHub\LostAlien\My project\Assets\Scripts\Bullet scripts\EnemyBullet.cs", "C#", 0, 0, 0, 78, 0, 0, 0, 20, 98
"g:\GitHub\LostAlien\My project\Assets\Scripts\Bullet scripts\HomingMissile.cs", "C#", 0, 0, 0, 85, 0, 0, 0, 28, 113
"g:\GitHub\LostAlien\My project\Assets\Scripts\CameraScripts\CameraFadeOutScript.cs", "C#", 0, 0, 0, 67, 0, 0, 0, 12, 79
"g:\GitHub\LostAlien\My project\Assets\Scripts\CameraScripts\CameraFollow.cs", "C#", 0, 0, 0, 48, 0, 0, 0, 6, 54
"g:\GitHub\LostAlien\My project\Assets\Scripts\CameraScripts\CameraShake.cs", "C#", 0, 0, 0, 35, 0, 0, 31, 39, 105
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Boss Man\BossMovement.cs", "C#", 0, 0, 0, 154, 0, 0, 0, 38, 192
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\DetectionZone.cs", "C#", 0, 0, 0, 25, 0, 0, 0, 7, 32
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\Enemy.cs", "C#", 0, 0, 0, 162, 0, 0, 1, 32, 195
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyAnimation.cs", "C#", 0, 0, 0, 35, 0, 0, 0, 8, 43
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyBatchHandler.cs", "C#", 0, 0, 0, 90, 0, 0, 0, 17, 107
